index,Airline,Freight_In_(tonnes),Freight_Out_(tonnes),Mail_In_(tonnes),Mail_Out_(tonnes),Month,Month_num,Passengers_In,Passengers_Out,Port_Country,Year,_id
7664,Kalitta Air,0.0,918.789,0.0,0.0,44136,11,0,0,Singapore,2020,42837
7710,Royal Brunei Airlines,55.623999999999995,135.597,0.0,0.0,44013,7,49,35,Brunei,2020,42552
7860,Federal Express Corporation,32.645,0,0.0,0.0,44105,10,0,0,New Zealand,2020,42748
8047,Xiamen Airlines,182.0,111.004,10.6,0.0,44105,10,278,2124,China,2020,42798
8109,Air New Zealand,1064.757,1593.821,64.344,63.213,44105,10,3048,5362,New Zealand,2020,42723
8210,Federal Express Corporation,1012.6360000000001,127.048,0.0,0.0,44044,8,0,0,Singapore,2020,42598
8508,Thai Airways International,109.273,93.026,10.964,0.0,44044,8,152,684,Thailand,2020,42637
8539,United Parcel Service,0.0,205.693,0.0,0.0,44075,9,0,0,Korea,2020,42713
8622,Etihad Airways,541.805,700.11,29.948,51.133,44044,8,698,1468,United Arab Emirates,2020,42593
8627,Qantas Airways,265.768,534.05,0.161,0.064,44075,9,0,0,New Zealand,2020,42697
8665,Qantas Airways,463.212,687.776,0.813,1.6019999999999999,44136,11,589,135,New Zealand,2020,42856
8855,Air Vanuatu,0.496,1.96,0.0,0.0,44075,9,21,302,Vanuatu,2020,42652
8998,SriLankan Airlines,96.271,34.027,1.37,0.0,44075,9,103,1939,Sri Lanka,2020,42707
9064,Etihad Airways,549.034,948.237,41.722,71.622,44105,10,726,1072,United Arab Emirates,2020,42745
9140,Emirates,0.0,0.178,0.0,0.0,44075,9,0,0,Indonesia,2020,42663
9141,American Airlines,312.08099999999996,146.746,12.177999999999999,34.335,44013,7,0,0,USA,2020,42510
9321,China Eastern Airlines,520.933,636.627,14.107000000000001,0.0,44044,8,141,1752,China,2020,42584
9447,Cathay Pacific Airways,2899.573,2214.006,132.032,0.0,44044,8,638,2554,Hong Kong (SAR),2020,42581
9479,Malaysia Airlines,1513.5710000000001,730.298,14.147,0.0,44013,7,667,2137,Malaysia,2020,42536
9559,Xiamen Airlines,59.395,49.002,5.255,0.0,44013,7,217,1086,China,2020,42567
9604,Polar Air Cargo,855.258,0,0.0,0.0,44136,11,0,0,Guam,2020,42848
9652,SriLankan Airlines,126.85700000000001,42.032,3.5580000000000003,0.0,44105,10,181,1671,Sri Lanka,2020,42789
9779,Qatar Airways,1951.72,3641.217,143.128,9.764,44075,9,2751,7973,Qatar,2020,42701
9822,Emirates,782.334,481.46,2.48,0.0,44136,11,0,0,Singapore,2020,42821
