Airline,level_1,Freight_In_(tonnes)
Beijing Capital Airlines,35766,183.833
Beijing Capital Airlines,21581,187.13633333333337
Beijing Capital Airlines,16857,165.5496666666667
Beijing Capital Airlines,30694,194.68133333333336
Beijing Capital Airlines,39080,205.14866666666668
Beijing Capital Airlines,30380,235.323
Beijing Capital Airlines,17601,233.27133333333336
British Airways,20906,
British Airways,25266,
British Airways,9216,120.015
British Airways,35047,117.66566666666665
British Airways,31464,117.64233333333333
British Airways,38885,245.28566666666666
British Airways,10052,132.727
British Airways,38170,261.68966666666665
British Airways,40213,267.78000000000003
British Airways,41945,274.12833333333333
British Airways,24978,150.24066666666664
British Airways,34466,148.145
British Airways,9806,254.60300000000004
British Airways,16146,252.77533333333338
British Airways,24436,245.26200000000003
British Airways,38808,134.00033333333334
British Airways,7396,260.901
British Airways,22418,140.37400000000005
British Airways,16753,140.63300000000004
British Airways,40347,150.32533333333342
British Airways,2834,281.0326666666667
British Airways,17000,279.1413333333334
British Airways,20511,255.30300000000003
British Airways,39193,122.1236666666667
Cathay Pacific Airways,4564,
Cathay Pacific Airways,22085,
Cathay Pacific Airways,21344,3011.9649999999997
Cathay Pacific Airways,22010,3066.8366666666666
Cathay Pacific Airways,25662,3191.4816666666666
Cathay Pacific Airways,40239,3359.3993333333333
Cathay Pacific Airways,13667,3566.906666666667
Cathay Pacific Airways,10614,3705.2223333333336
Cathay Pacific Airways,17944,3593.501
Cathay Pacific Airways,11946,3553.739666666667
Cathay Pacific Airways,24833,3426.0056666666674
Cathay Pacific Airways,6887,3471.3170000000005
Cebu Pacific Air,16923,
Cebu Pacific Air,27155,
Cebu Pacific Air,20095,237.73033333333333
Cebu Pacific Air,36018,215.75366666666665
Cebu Pacific Air,38253,209.5513333333333
Cebu Pacific Air,26954,205.45933333333332
Cebu Pacific Air,35021,210.8123333333333
Cebu Pacific Air,13778,235.04766666666663
Cebu Pacific Air,21019,286.29333333333335
Cebu Pacific Air,21937,339.5343333333334
Cebu Pacific Air,17933,333.1513333333334
Cebu Pacific Air,8985,301.13700000000017
China Airlines,30988,
China Airlines,34500,
China Airlines,5743,224.18833333333336
China Airlines,10324,204.50533333333337
China Airlines,22757,203.95700000000002
China Airlines,22925,232.99700000000004
China Airlines,11891,312.5993333333334
China Airlines,21905,305.1176666666667
China Airlines,35908,199.4236666666667
China Airlines,41442,221.11100000000008
China Airlines,5005,399.59533333333343
China Airlines,39096,407.69733333333346
China Airlines,687,430.1410000000001
China Airlines,19267,236.77700000000004
China Airlines,28127,364.88866666666667
China Airlines,28532,196.17566666666664
China Airlines,7749,376.3406666666667
China Airlines,7757,221.51800000000006
China Airlines,17491,393.1330000000001
China Airlines,18199,219.0236666666668
China Airlines,8834,222.3166666666668
China Airlines,19713,184.7610000000001
China Airlines,4341,324.84433333333345
China Airlines,22386,378.9310000000001
China Eastern Airlines,20547,
China Eastern Airlines,32432,
China Eastern Airlines,16175,784.4639999999999
China Eastern Airlines,31890,789.1703333333334
China Eastern Airlines,25936,772.0499999999998
China Eastern Airlines,7713,681.4743333333332
China Eastern Airlines,6879,664.0239999999999
China Eastern Airlines,9741,656.4646666666666
China Eastern Airlines,40838,712.435
China Eastern Airlines,41449,754.9323333333333
China Eastern Airlines,35762,822.6236666666667
China Eastern Airlines,29798,777.1543333333334
China Southern Airlines,26947,
China Southern Airlines,4468,
China Southern Airlines,7592,1255.579
China Southern Airlines,8714,1452.5666666666666
China Southern Airlines,41329,1564.733333333333
China Southern Airlines,41554,1688.2829999999994
China Southern Airlines,12908,1780.4989999999996
China Southern Airlines,32484,2092.328333333333
China Southern Airlines,593,2003.1096666666663
China Southern Airlines,15341,1734.6799999999996
China Southern Airlines,2365,1561.062333333333
China Southern Airlines,41950,1579.8409999999997
Delta Air Lines,8787,
Delta Air Lines,5540,
Delta Air Lines,28695,233.4606666666667
Delta Air Lines,28662,262.781
Delta Air Lines,18880,271.5896666666667
Delta Air Lines,33060,291.1666666666667
Delta Air Lines,9461,337.183
Delta Air Lines,6358,379.3179999999999
Delta Air Lines,23271,366.55633333333327
Delta Air Lines,4254,327.5503333333333
Delta Air Lines,30490,262.4453333333333
Delta Air Lines,1449,239.40099999999998
Donghai Airlines,30590,
Donghai Airlines,7344,
Donghai Airlines,10824,1.1176666666666668
Donghai Airlines,14840,3.232333333333333
Donghai Airlines,36840,3.996
Donghai Airlines,9166,2.8783333333333334
Donghai Airlines,25280,2.954333333333334
Donghai Airlines,35585,2.8653333333333335
Emirates,6239,
Emirates,8466,
Emirates,10542,895.7759999999998
Emirates,13163,297.1123333333333
Emirates,14884,284.8383333333333
Emirates,3679,284.873
Emirates,8623,295.98333333333335
Emirates,18220,1333.8323333333335
Emirates,20070,1333.786
Emirates,40114,1048.4460000000001
Emirates,125,23.36866666666674
Emirates,2270,1116.4843333333336
Emirates,7209,1105.8873333333333
Emirates,7376,1309.8953333333334
Emirates,42019,216.77966666666666
Emirates,18320,216.77966666666666
Emirates,23251,94.49266666666665
Emirates,29722,1107.9633333333334
Emirates,35355,1107.9633333333334
Emirates,38681,1024.9153333333334
Emirates,1788,11.471999999999904
Emirates,10910,100.04866666666658
Emirates,17286,1134.1643333333332
Emirates,18166,1149.754
Emirates,25480,1061.1773333333333
Emirates,20430,15.61800000000009
Emirates,27421,16.914333333333424
Emirates,27484,16.914333333333424
Emirates,27749,128.1340000000001
Emirates,35352,1237.9773333333335
Emirates,9545,2523.626
Emirates,11596,2522.3120000000004
Emirates,28827,1395.7936666666671
Emirates,28968,125.96333333333375
Emirates,32152,16.05666666666707
Emirates,3896,15.978000000000401
Emirates,28507,1166.5126666666672
Emirates,33768,1313.2573333333337
Emirates,34032,1328.6560000000006
Emirates,41623,162.30300000000048
Emirates,2562,1158.1056666666673
Emirates,8531,1157.4990000000005
Emirates,15761,1157.5113333333338
Emirates,30855,14.964000000000397
Emirates,38171,119.48600000000039
Emirates,2917,123.4550000000004
Emirates,5657,1373.1643333333338
Emirates,11054,1253.690666666667
Emirates,25831,1391.507666666667
Emirates,34712,141.79833333333377
Emirates,9332,141.79833333333377
Emirates,17592,1314.5866666666673
Emirates,22101,1314.5866666666673
Emirates,28729,1395.5310000000006
Emirates,39435,80.94433333333382
Emirates,6721,80.94433333333382
Emirates,6935,2.0543333333338203
Emirates,16816,1244.5473333333339
Emirates,17586,1244.5473333333339
Emirates,34973,1318.4300000000005
Etihad Airways,33597,
Etihad Airways,5040,
Etihad Airways,33600,1025.853
Etihad Airways,30145,1189.6000000000001
Etihad Airways,39943,1370.5580000000002
Etihad Airways,6578,1425.3546666666668
Etihad Airways,8977,1259.8093333333334
Etihad Airways,28692,1074.655
Etihad Airways,6377,911.7330000000002
Etihad Airways,23050,910.1390000000001
Etihad Airways,37772,953.5266666666668
Etihad Airways,33927,917.0626666666667
Eva Air,1022,
Eva Air,15591,
Eva Air,5435,124.64133333333332
Eva Air,11267,132.63199999999998
Eva Air,21091,132.96533333333332
Eva Air,20950,152.01099999999997
Eva Air,2787,176.86599999999996
Eva Air,3583,197.1863333333333
Eva Air,23345,199.33866666666665
Eva Air,6102,180.571
Eva Air,10270,187.38166666666666
Eva Air,22149,198.11100000000002
Federal Express Corporation,11786,
Federal Express Corporation,12767,
Federal Express Corporation,8839,671.853
Federal Express Corporation,30314,350.76066666666657
Federal Express Corporation,25136,350.76066666666657
Federal Express Corporation,35331,388.2043333333332
Federal Express Corporation,18959,760.2773333333331
Federal Express Corporation,26521,760.2773333333331
Federal Express Corporation,726,746.2129999999997
Federal Express Corporation,15004,374.1399999999997
Federal Express Corporation,6978,374.1399999999997
Federal Express Corporation,42055,378.54133333333294
Federal Express Corporation,7229,378.54133333333294
Federal Express Corporation,42176,773.3619999999996
Federal Express Corporation,1500,394.8206666666663
Federal Express Corporation,15928,788.3589999999996
Federal Express Corporation,19252,786.396333333333
Federal Express Corporation,30943,786.396333333333
Federal Express Corporation,25601,392.85799999999966
Federal Express Corporation,30819,407.61866666666634
Federal Express Corporation,20288,573.6476666666664
Federal Express Corporation,21673,945.3776666666663
Federal Express Corporation,33351,537.7589999999997
Federal Express Corporation,28376,776.1889999999995
Federal Express Corporation,37824,404.45899999999955
Federal Express Corporation,38289,634.601333333333
Fiji Airways,21698,
Fiji Airways,7489,
Fiji Airways,23471,287.21633333333335
Fiji Airways,17408,265.86666666666673
Fiji Airways,40168,270.6403333333334
Fiji Airways,11626,288.958
Fiji Airways,33001,341.5186666666668
Fiji Airways,21400,398.7360000000001
Fiji Airways,16935,377.3880000000001
Fiji Airways,10413,352.2636666666667
Fiji Airways,32340,301.16200000000003
Fiji Airways,4420,297.7036666666667
Garuda Indonesia,25735,
Garuda Indonesia,30236,
Garuda Indonesia,36879,595.5769999999999
Garuda Indonesia,13698,667.6726666666666
Garuda Indonesia,10128,688.3263333333333
Garuda Indonesia,10355,692.4016666666666
Garuda Indonesia,14031,625.5079999999999
Garuda Indonesia,38792,550.0263333333332
Garuda Indonesia,41005,502.4923333333333
Garuda Indonesia,6103,606.9019999999999
Garuda Indonesia,15936,762.906
Garuda Indonesia,19258,833.0269999999999
Hainan Airlines,3070,
Hainan Airlines,22830,
Hainan Airlines,13426,312.384
Hainan Airlines,24733,387.987
Hainan Airlines,14551,476.296
Hainan Airlines,10103,513.3733333333333
Hainan Airlines,29087,484.8709999999999
Hainan Airlines,30246,458.18933333333325
Hainan Airlines,16565,447.5826666666666
Hainan Airlines,7042,465.6696666666666
Hainan Airlines,41655,487.09799999999996
Hainan Airlines,12147,491.3546666666666
Hawaiian Airlines,35422,
Hawaiian Airlines,8658,
Hawaiian Airlines,18313,160.981
Hawaiian Airlines,5831,159.04599999999996
Hawaiian Airlines,10522,161.576
Hawaiian Airlines,38971,154.4526666666667
Hawaiian Airlines,18862,157.6746666666667
Hawaiian Airlines,33372,167.69633333333334
Hawaiian Airlines,2322,177.35833333333335
Hawaiian Airlines,38077,183.306
Hawaiian Airlines,11223,177.69466666666665
Hawaiian Airlines,37882,171.69466666666665
Hong Kong Airlines,1810,
Hong Kong Airlines,7603,
Hong Kong Airlines,12107,216.92600000000002
Hong Kong Airlines,32436,186.98366666666666
Hong Kong Airlines,9222,193.69633333333334
Hong Kong Airlines,17314,174.696
Hong Kong Airlines,39703,170.059
Hong Kong Airlines,24922,147.59766666666667
Hong Kong Airlines,25370,140.85600000000002
Hong Kong Airlines,14691,130.33933333333334
Indonesia AirAsia,40207,
Indonesia AirAsia,36604,
Indonesia AirAsia,11499,28.92833333333333
Indonesia AirAsia,10513,29.943
Indonesia AirAsia,18455,29.31533333333333
Indonesia AirAsia,36462,23.453999999999997
Indonesia AirAsia,41933,26.385666666666662
Indonesia AirAsia,29851,23.956999999999997
Indonesia AirAsia,34894,24.323666666666668
Indonesia AirAsia,25732,18.92766666666667
Indonesia AirAsia,30008,15.215666666666666
Indonesia AirAsia,39667,10.679333333333332
Japan Airlines,39222,
Japan Airlines,15526,
Japan Airlines,24565,275.96066666666667
Japan Airlines,39414,298.0903333333333
Japan Airlines,36705,357.12466666666666
Japan Airlines,36379,379.6856666666667
Japan Airlines,39029,444.5976666666667
Japan Airlines,23372,471.3053333333334
Japan Airlines,24027,452.08600000000007
Japan Airlines,18415,433.35666666666674
Japan Airlines,11216,371.14933333333346
Japan Airlines,9041,368.0543333333335
Jetstar,937,
Jetstar,1894,
Jetstar,2182,73.39066666666666
Jetstar,2454,71.94833333333334
Jetstar,21889,108.89233333333333
Jetstar,24737,71.15466666666664
Jetstar,27073,130.85899999999998
Jetstar,32508,119.05399999999997
Jetstar,34997,147.9623333333333
Jetstar,635,124.40699999999998
Jetstar,3456,90.25799999999998
Jetstar,4693,104.50966666666665
Jetstar,5579,70.47433333333332
Jetstar,9338,46.24566666666666
Jetstar,14413,32.051999999999985
Jetstar,20439,29.93833333333332
Jetstar,38434,119.28133333333331
Jetstar,40334,187.86599999999996
Jetstar,2677,189.04433333333327
Jetstar,4958,104.20333333333326
Jetstar,10593,34.065666666666594
Jetstar,11203,84.15699999999991
Jetstar,11545,198.9276666666666
Jetstar,22800,284.9189999999999
Jetstar,24556,236.49233333333325
Jetstar,32654,154.64633333333322
Jetstar,42289,91.31066666666656
Jetstar,3080,112.75566666666656
Jetstar,3196,161.5613333333332
Jetstar,16683,162.63399999999987
Jetstar,18971,246.13166666666652
Jetstar,26791,160.8246666666665
Jetstar,28776,138.1926666666665
Jetstar,31659,141.43466666666652
Jetstar,35350,140.94199999999987
Jetstar,39641,137.73599999999985
Jetstar,2868,96.60399999999983
Jetstar,5462,216.19299999999984
Jetstar,20483,192.3926666666665
Jetstar,20672,123.83199999999984
Jetstar,22289,37.85766666666651
Jetstar,22294,57.734333333333176
Jetstar,27275,146.65599999999984
Jetstar,33084,233.8163333333332
Jetstar,41459,240.56199999999987
Jetstar,7806,172.56866666666653
Jetstar,9713,108.72599999999987
Jetstar,14820,81.31133333333321
Jetstar,17235,99.10399999999987
Jetstar,18815,164.77966666666654
Jetstar,21713,165.0103333333332
Jetstar,23039,157.7196666666665
Jetstar,27100,154.23099999999985
Jetstar,41113,240.25066666666655
Jetstar,489,324.7013333333332
Jetstar,1116,287.6616666666665
Jetstar,3788,327.59599999999983
Jetstar,7076,234.91899999999984
Jetstar,10411,153.72466666666648
Jetstar,13621,26.581999999999784
Jetstar,17995,95.70999999999977
Jetstar,20594,120.05766666666642
Jetstar,41493,183.2286666666664
Jetstar,1228,202.4259999999998
Jetstar,20031,191.52633333333313
Jetstar,21193,211.14133333333314
Jetstar,21563,208.00966666666645
Jetstar,24486,194.88766666666643
Jetstar,24861,140.87133333333313
Jetstar,32107,31.72599999999977
Jetstar,38779,71.03266666666643
Jetstar,40457,73.63399999999976
Jetstar,4727,74.07899999999977
Jetstar,10440,111.89166666666642
Jetstar,16695,101.1893333333331
Jetstar,23090,218.77099999999976
Jetstar,32766,188.76799999999977
Jetstar,36304,214.64399999999975
Jetstar,39431,96.75399999999975
Jetstar,40914,106.47466666666644
Jetstar,42725,178.53666666666643
Jetstar,5697,289.67233333333314
Jetstar,6591,302.05299999999977
Jetstar,9753,266.71466666666646
Jetstar,17891,312.39333333333315
Jetstar,23703,279.8333333333332
Jetstar,23882,216.84399999999985
Jetstar,29091,60.76733333333319
Jetstar,30282,22.30433333333319
Jetstar,40439,49.49333333333319
Jetstar,11429,169.21466666666652
Jetstar,13195,250.50633333333317
Jetstar,13869,224.72366666666653
Jetstar,19600,129.57766666666652
Jetstar,20101,234.83199999999988
Jetstar,23788,214.74633333333324
Jetstar,35041,258.4809999999999
Jetstar,38785,112.02199999999989
Jetstar,42675,110.54399999999991
Jetstar,3040,54.47733333333324
Jetstar,8419,44.74899999999991
Jetstar,11023,102.67633333333323
Jetstar,11377,90.5109999999999
Jetstar,15361,167.7349999999999
Jetstar,17989,109.76033333333324
Jetstar,26420,258.56033333333323
Jetstar,42330,193.6873333333332
Jetstar Asia,17495,
Jetstar Asia,17903,
Jetstar Asia,5580,7.909666666666666
Jetstar Asia,33331,8.091333333333333
Jetstar Asia,33589,8.688666666666665
Jetstar Asia,23357,8.586666666666666
Jetstar Asia,27566,6.938666666666665
Jetstar Asia,6733,7.320999999999999
Jetstar Asia,533,8.088333333333333
Jetstar Asia,3774,9.333666666666668
Jetstar Asia,41501,9.867
Jetstar Asia,10359,9.543333333333335
Jin Air,11494,
Korean Air,17406,
Korean Air,13678,
Korean Air,32553,226.085
Korean Air,8104,214.87366666666665
Korean Air,23590,213.86966666666663
Korean Air,5407,194.8983333333333
Korean Air,33673,203.956
Korean Air,37256,184.9503333333333
Korean Air,42823,185.92799999999997
Korean Air,25685,178.44466666666662
Korean Air,21329,186.35233333333326
Korean Air,2594,185.04866666666658
LATAM Airlines,15120,
LATAM Airlines,22887,
LATAM Airlines,14690,117.16300000000001
LATAM Airlines,15079,91.23266666666666
LATAM Airlines,19369,90.24666666666667
LATAM Airlines,30668,148.40366666666668
LATAM Airlines,19236,136.721
LATAM Airlines,26884,132.08133333333333
LATAM Airlines,11978,73.23066666666666
LATAM Airlines,15860,93.34833333333336
LATAM Airlines,39059,125.35233333333336
LATAM Airlines,39699,126.22300000000003
LATAM Airlines,188,74.28900000000003
LATAM Airlines,6364,82.38766666666672
LATAM Airlines,936,144.5056666666667
LATAM Airlines,41767,141.92566666666673
LATAM Airlines,13728,102.15866666666672
LATAM Airlines,26308,71.57033333333338
LATAM Airlines,10566,127.17300000000006
LATAM Airlines,10955,126.75966666666672
LATAM Airlines,18012,153.2176666666667
LATAM Airlines,40602,95.35966666666673
LATAM Airlines,19877,94.88400000000006
LATAM Airlines,35063,92.73933333333339
Malaysia Airlines,24527,
Malaysia Airlines,18908,
Malaysia Airlines,12221,1455.1013333333333
Malaysia Airlines,32389,1631.5353333333335
Malaysia Airlines,12897,1758.2106666666668
Malaysia Airlines,24470,1784.5843333333335
Malaysia Airlines,2753,1874.5176666666666
Malaysia Airlines,287,1950.175
Malaysia Airlines,1988,2004.3103333333331
Malaysia Airlines,23567,2069.5363333333335
Malaysia Airlines,31499,2092.2326666666672
Malaysia Airlines,40935,1961.960666666667
Malindo Air,20535,
Malindo Air,29662,
Malindo Air,29098,0.8733333333333334
Malindo Air,30332,1.6733333333333331
Malindo Air,384,0.7999999999999998
Malindo Air,6992,2.086
Malindo Air,26033,1.3526666666666667
Malindo Air,37903,2.476
Malindo Air,26178,1.19
Malindo Air,35225,1.79
Malindo Air,571,0.7416666666666666
Malindo Air,27859,2.0716666666666668
Malindo Air,25920,2.9716666666666662
Malindo Air,37655,2.8966666666666665
Malindo Air,29558,3.15
Malindo Air,31442,2.103
Malindo Air,19343,3.5420000000000003
Malindo Air,30851,2.9313333333333333
Malindo Air,9293,2.4116666666666666
Malindo Air,42380,0.9726666666666667
Malindo Air,17516,0.0
Malindo Air,39265,0.0
Malindo Air,10491,0.0
Malindo Air,10985,0.0
Nauru Airlines,4049,
Nauru Airlines,12411,
Nauru Airlines,14736,2.749333333333333
Nauru Airlines,30840,2.949333333333333
Nauru Airlines,12268,3.3796666666666666
Nauru Airlines,4526,4.558666666666666
Nauru Airlines,877,3.525
Nauru Airlines,37965,4.702666666666666
Nauru Airlines,32471,3.8859999999999992
Nauru Airlines,12428,4.540333333333332
Nauru Airlines,7802,3.7079999999999997
Nauru Airlines,5330,12.284333333333334
Pacific Air Express,4499,
Pacific Air Express,6053,
Pacific Air Express,3248,0.6126666666666667
Pacific Air Express,3393,0.6126666666666667
Pacific Air Express,14586,0.6793333333333335
Pacific Air Express,29117,5.567333333333333
Pacific Air Express,7101,6.14
Pacific Air Express,8817,11.444333333333333
Pacific Air Express,17205,6.103000000000001
Pacific Air Express,35854,6.1723333333333334
Pacific Air Express,6469,2.4243333333333332
Pacific Air Express,12861,2.4936666666666665
Pacific Air Express,29536,2.8489999999999998
Pacific Air Express,37437,1.6536666666666662
Pacific Air Express,12665,1.4249999999999996
Pacific Air Express,26705,0.5703333333333328
Pacific Air Express,18234,0.1676666666666661
Pacific Air Express,38664,1.0053333333333327
Pacific Air Express,39309,0.8626666666666661
Pacific Air Express,39921,0.837666666666666
Pacific Air Express,21167,0.0
Pacific Air Express,24304,0.30266666666666603
Pacific Air Express,20667,0.5429999999999994
Philippine Airlines,1676,
Philippine Airlines,29814,
Philippine Airlines,33871,191.62933333333334
Philippine Airlines,41733,233.859
Philippine Airlines,2272,245.183
Philippine Airlines,13802,270.62966666666665
Philippine Airlines,21829,269.3053333333333
Philippine Airlines,10841,248.8653333333333
Philippine Airlines,38308,189.87733333333327
Philippine Airlines,38130,147.28199999999993
Philippine Airlines,39951,122.79533333333329
Philippine Airlines,27978,116.23066666666664
Polar Air Cargo,5447,
Polar Air Cargo,9643,
Polar Air Cargo,27335,79.12166666666667
Polar Air Cargo,42583,203.95766666666668
Polar Air Cargo,3039,236.44100000000003
Polar Air Cargo,9742,236.44100000000003
Polar Air Cargo,14158,111.60500000000002
Polar Air Cargo,21714,109.94333333333333
Polar Air Cargo,40736,109.94333333333333
Polar Air Cargo,6294,109.94333333333333
Polar Air Cargo,9698,0.0
Polar Air Cargo,21614,132.8153333333333
Polar Air Cargo,25231,264.77566666666667
Polar Air Cargo,6251,390.2063333333333
Polar Air Cargo,9570,392.12033333333335
Polar Air Cargo,37542,260.16
Polar Air Cargo,36095,295.0660000000001
Polar Air Cargo,36405,279.44566666666674
Polar Air Cargo,37873,279.44566666666674
Polar Air Cargo,564,261.28400000000005
Polar Air Cargo,10770,142.17500000000004
Polar Air Cargo,31404,273.1283333333334
Polar Air Cargo,14583,130.95333333333338
Polar Air Cargo,30986,274.4136666666667
Polar Air Cargo,37262,278.886
Polar Air Cargo,20583,428.47599999999994
Polar Air Cargo,28205,285.0156666666666
Polar Air Cargo,41112,252.62199999999999
Polar Air Cargo,9377,103.032
Polar Air Cargo,17704,103.032
Polar Air Cargo,22748,136.79133333333334
Polar Air Cargo,41878,245.0436666666667
Polar Air Cargo,3408,383.78266666666667
Polar Air Cargo,12593,246.9913333333333
Polar Air Cargo,23068,266.1766666666667
Polar Air Cargo,41025,127.43766666666666
Polar Air Cargo,6509,127.43766666666666
Polar Air Cargo,11390,104.59733333333332
Polar Air Cargo,14012,104.59733333333332
Polar Air Cargo,25730,104.59733333333332
Polar Air Cargo,39527,149.16999999999996
Polar Air Cargo,9267,149.16999999999996
Polar Air Cargo,12967,269.8956666666666
Polar Air Cargo,28358,224.36966666666663
